relative_path,file_type,size_bytes,purpose,properties,checklist_mapping
code/.gitkeep,none,1,可复现分析脚本,,总体/对应脚本编号
code/00_ingest_preprocess.py,.py,14878,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/10_q1_1_association.py,.py,14811,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/11_q1_2_weather_effect.py,.py,21258,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/12_q1_3_counterfactual.py,.py,18744,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/20_q2_1_classification.py,.py,37982,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/21_q2_2_subclasses.py,.py,28408,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/30_q3_unknown.py,.py,17872,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/40_q4_network.py,.py,23007,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/98_snapshot_hashes.py,.py,1093,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/99_finalize.py,.py,25721,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/common.py,.py,27345,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/run_all.py,.py,1576,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
code/test_common.py,.py,1288,可复现分析脚本,UTF-8 Python源代码,总体/对应脚本编号
config/.gitkeep,none,1,统一预注册配置,,0.9/公共配置
config/config.json,.json,600,统一预注册配置,UTF-8 JSON元数据/审计,0.9/公共配置
data/.gitkeep,none,1,脚本生成的规范化中间数据（非原始附件）,,公共数据口径
data/canonical_table1.csv,.csv,2294,脚本生成的规范化中间数据（非原始附件）,"58行×6列；字段=artifact_id,pattern,glass_type,color,surface_weathering,raw_row_id",公共数据口径
data/canonical_table2.csv,.csv,14280,脚本生成的规范化中间数据（非原始附件）,"69行×54列；字段=sample_point,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5…",公共数据口径
data/canonical_table3.csv,.csv,1640,脚本生成的规范化中间数据（非原始附件）,"8行×48列；字段=unknown_id,surface_weathering,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO…",公共数据口径
data/known_points_valid.csv,.csv,13833,脚本生成的规范化中间数据（非原始附件）,"67行×54列；字段=sample_point,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5…",公共数据口径
figures/.gitkeep,none,1,论文可用矢量PDF图,,对应子问题图表
figures/q1_1_color_weathering_stacked.pdf,.pdf,20951,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_1_cramers_v_forest.pdf,.pdf,18130,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_1_glass_type_weathering_stacked.pdf,.pdf,18766,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_1_logistic_or_forest.pdf,.pdf,25053,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_1_pattern_weathering_stacked.pdf,.pdf,15973,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_2_aitchison_pca_weathering.pdf,.pdf,17938,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_2_component_distribution_baseline.pdf,.pdf,22306,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_2_composition_change_intervals.pdf,.pdf,21626,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_2_ilr_effect_forest.pdf,.pdf,19893,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_2_leave_one_artifact_influence.pdf,.pdf,20334,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_3_counterfactual_migration_arrows.pdf,.pdf,23174,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_3_largest_uncertainty_intervals.pdf,.pdf,21071,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_3_observed_vs_counterfactual_dumbbell.pdf,.pdf,26748,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q1_3_uncertainty_ranking.pdf,.pdf,18568,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_1_feature_stability.pdf,.pdf,17784,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_1_frozen_cart_rules.pdf,.pdf,15961,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_1_model_performance_distribution.pdf,.pdf,20853,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_1_oof_probability_strip.pdf,.pdf,16225,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_1_roc_and_calibration.pdf,.pdf,17711,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_1_selected_model_confusion_matrix.pdf,.pdf,20218,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_2_consensus_matrices.pdf,.pdf,24988,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_2_k_metrics_and_stability.pdf,.pdf,27167,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_2_q_artifact_dendrograms.pdf,.pdf,19632,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_2_r_variable_dendrograms.pdf,.pdf,16275,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_2_subclass_profiles_heatmap.pdf,.pdf,24416,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q2_2_subclass_projection.pdf,.pdf,17440,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q3_applicability_projection.pdf,.pdf,17274,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q3_bootstrap_label_frequency.pdf,.pdf,14602,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q3_three_model_consistency.pdf,.pdf,13709,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q3_unknown_probabilities_intervals.pdf,.pdf,20287,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q4_core_differential_network.pdf,.pdf,11099,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q4_core_proportionality_networks.pdf,.pdf,14640,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q4_effect_vs_selection_frequency.pdf,.pdf,17699,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q4_proportionality_heatmaps.pdf,.pdf,26236,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/q4_weathering_adjustment_comparison.pdf,.pdf,18122,论文可用矢量PDF图,矢量PDF；由正式结果或其源CSV生成,对应子问题图表
figures/source_data/q1_1_color_weathering_stacked.csv,.csv,495,对应论文图的机器生成源数据,"18行×4列；字段=color,surface_weathering,count,proportion",对应图表
figures/source_data/q1_1_cramers_v_forest.csv,.csv,637,对应论文图的机器生成源数据,"3行×12列；字段=attribute,test_used,statistic,df,p_raw,p_fdr,cramer_v_corrected,v_ci_low,v_ci_high,bootstrap_success_rate,monte_carlo_se,n_artifacts",对应图表
figures/source_data/q1_1_glass_type_weathering_stacked.csv,.csv,174,对应论文图的机器生成源数据,"4行×4列；字段=glass_type,surface_weathering,count,proportion",对应图表
figures/source_data/q1_1_logistic_or_forest.csv,.csv,1829,对应论文图的机器生成源数据,"11行×10列；字段=term,reference_level,beta,se,odds_ratio,ci_low,ci_high,p_value,estimator,converged",对应图表
figures/source_data/q1_1_pattern_weathering_stacked.csv,.csv,188,对应论文图的机器生成源数据,"6行×4列；字段=pattern,surface_weathering,count,proportion",对应图表
figures/source_data/q1_2_aitchison_pca_weathering.csv,.csv,4433,对应论文图的机器生成源数据,"67行×6列；字段=artifact_id,sample_point,point_weathering,glass_type,pc1,pc2",对应图表
figures/source_data/q1_2_component_distribution_baseline.csv,.csv,10641,对应论文图的机器生成源数据,"268行×4列；字段=glass_type,component,weathering,pct",对应图表
figures/source_data/q1_2_composition_change_intervals.csv,.csv,2837,对应论文图的机器生成源数据,"25行×7列；字段=glass_type,component,predicted_unweathered_pct,predicted_weathered_pct,difference_pct_point,ci_low,ci_high",对应图表
figures/source_data/q1_2_ilr_effect_forest.csv,.csv,4025,对应论文图的机器生成源数据,"23行×12列；字段=glass_type,ilr_coordinate,balance_definition,beta_weathering,boot_se,ci_low,ci_high,p_raw,p_fdr,sign_frequency,n_artifacts,n_points",对应图表
figures/source_data/q1_2_leave_one_artifact_influence.csv,.csv,2314,对应论文图的机器生成源数据,"56行×6列；字段=glass_type,left_out_artifact,effect_norm,direction_agreement,fit_success,failure_reason",对应图表
figures/source_data/q1_3_counterfactual_migration_arrows.csv,.csv,19737,对应论文图的机器生成源数据,"64行×18列；字段=sample_point,glass_type,state,ilr_1,ilr_2,ilr_3,ilr_4,ilr_5,ilr_6,ilr_7,ilr_8,ilr_9…",对应图表
figures/source_data/q1_3_largest_uncertainty_intervals.csv,.csv,3905,对应论文图的机器生成源数据,"30行×12列；字段=artifact_id,sample_point,glass_type,component,observed_weathered_pct,estimated_unweathered_pct,median_pct,ci_low_pct,ci_high_pct,modeled,bootstrap_success,width",对应图表
figures/source_data/q1_3_observed_vs_counterfactual_dumbbell.csv,.csv,1577,对应论文图的机器生成源数据,"25行×5列；字段=glass_type,component,observed,estimated,abs_change",对应图表
figures/source_data/q1_3_uncertainty_ranking.csv,.csv,13840,对应论文图的机器生成源数据,"32行×26列；字段=artifact_id,sample_point,glass_type,sum_pct,closure_error,aitchison_uncertainty,nearest_unweathered_distance,nearest_threshold,robust_mahalanobis,robust_threshold,applicability_flag,bootstrap_success…",对应图表
figures/source_data/q2_1_feature_stability.csv,.csv,293,对应论文图的机器生成源数据,"3行×5列；字段=feature_or_balance,selection_count,coefficient_sign_frequency,median_abs_coefficient,selection_frequency",对应图表
figures/source_data/q2_1_frozen_cart_rules.csv,.csv,4916,对应论文图的机器生成源数据,"56行×9列；字段=artifact_id,glass_type,true_label,surface_weathering,n_points,missing_count_mean,钾_相对_铅钡,铅钡_相对_硅铝,硅铝_相对_总助熔",对应图表
figures/source_data/q2_1_model_performance_distribution.csv,.csv,6326,对应论文图的机器生成源数据,"60行×8列；字段=repeat_id,model,balanced_accuracy,macro_f1,roc_auc,brier,calibration_intercept,calibration_slope",对应图表
figures/source_data/q2_1_oof_probability_strip.csv,.csv,4318,对应论文图的机器生成源数据,"56行×10列；字段=repeat_id,outer_fold,artifact_id,true_label,model,point_probability_mean,artifact_probability,predicted_label,threshold,n_points",对应图表
