task_id,method_id,method_name,method_role,paragraph_role,evidence_file,evidence_fields,sample_unit,data_version,comparison_protocol,error_metric,sensitivity_scenario,stability_metric,conclusion_grade,claim_id,allowed_wording
pre,pre_main,统一预处理,main,why,results/00_audit/preprocessing_rationale.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,pre_claims,须链接claim_evidence并按门槛限定
pre,pre_main,统一预处理,main,principle,config/config.json;code/common.py,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,pre_claims,须链接claim_evidence并按门槛限定
pre,pre_main,统一预处理,main,process,config/config.json;code/common.py,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,pre_claims,须链接claim_evidence并按门槛限定
pre,pre_main,统一预处理,main,result_validation,results/00_audit/imputation_mask_validation.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,pre_claims,须链接claim_evidence并按门槛限定
q1_1,q1_1_main,属性—风化关联,main,why,results/01_q1/q1_1_diagnostics.json,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_1_claims,须链接claim_evidence并按门槛限定
q1_1,q1_1_main,属性—风化关联,main,principle,config/config.json;code/1_1_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_1_claims,须链接claim_evidence并按门槛限定
q1_1,q1_1_main,属性—风化关联,main,process,config/config.json;code/1_1_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_1_claims,须链接claim_evidence并按门槛限定
q1_1,q1_1_main,属性—风化关联,main,result_validation,results/01_q1/q1_1_association.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_1_claims,须链接claim_evidence并按门槛限定
q1_2,q1_2_main,类型分层ILR风化效应,main,why,results/01_q1/q1_2_residual_diagnostics.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_2_claims,须链接claim_evidence并按门槛限定
q1_2,q1_2_main,类型分层ILR风化效应,main,principle,config/config.json;code/1_2_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_2_claims,须链接claim_evidence并按门槛限定
q1_2,q1_2_main,类型分层ILR风化效应,main,process,config/config.json;code/1_2_see_README,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_2_claims,须链接claim_evidence并按门槛限定
q1_2,q1_2_main,类型分层ILR风化效应,main,result_validation,results/01_q1/q1_2_overall_effect.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_2_claims,须链接claim_evidence并按门槛限定
q1_3,q1_3_main,ILR反事实反向位移,main,why,results/01_q1/q1_3_model_comparison.csv,见文件字段/README,文物（反事实另为嵌套点位）,附件.xlsx SHA256见input_hashes.json,同口径候选/重采样,区间、校准或数值闭合误差,见各任务sensitivity.csv,Bootstrap/重复CV/置换/共识,按正式门槛,q1_3_claims,须链接claim_evidence并按门槛限定
